iter	Passed	Remaining
459	783	919
460	783	916
461	784	913
462	785	910
463	786	908
464	787	905
465	788	903
466	788	900
467	789	897
468	790	894
469	791	892
470	791	889
471	792	886
472	793	884
473	794	881
474	795	878
475	795	876
476	796	873
477	797	870
478	798	868
479	798	865
480	799	862
481	800	860
482	801	858
483	802	855
484	803	853
485	804	850
486	805	848
487	806	845
488	806	843
489	807	840
490	808	838
491	809	835
492	810	833
493	811	830
494	811	828
495	812	825
496	813	823
497	814	820
498	815	818
499	816	816
500	817	814
501	818	812
502	819	809
503	820	807
504	821	804
505	821	802
506	822	800
507	824	798
508	825	795
509	825	793
510	826	791
511	827	788
512	828	786
513	828	783
514	829	781
515	830	778
516	831	776
517	832	774
518	833	772
519	833	769
520	834	767
521	835	764
522	836	762
523	836	760
524	837	757
525	838	755
526	839	753
527	840	751
528	841	748
529	841	746
530	842	744
531	843	742
532	844	739
533	845	737
534	846	735
535	847	733
536	848	731
537	849	729
538	850	727
539	851	725
540	852	723
541	853	721
542	855	719
543	856	717
544	856	715
545	857	713
546	858	711
547	859	708
548	860	706
549	861	704
550	862	702
551	863	700
552	864	698
553	865	696
554	866	694
555	867	692
556	868	690
557	869	688
558	870	686
559	871	684
560	872	682
561	873	680
562	874	678
563	875	676
564	876	674
565	877	672
566	878	670
567	878	668
568	879	666
569	880	664
570	881	662
571	882	660
572	883	658
573	885	657
574	886	655
575	887	653
576	888	651
577	889	649
578	890	647
579	891	645
580	892	643
581	894	642
582	895	640
583	896	638
584	897	636
585	898	634
586	899	633
587	900	631
588	901	629
589	902	627
590	903	625
591	904	623
592	906	621
593	907	620
594	908	618
595	909	616
596	910	614
597	911	612
598	912	610
599	914	609
600	915	607
601	916	605
602	917	603
603	918	602
604	919	600
605	922	599
606	923	597
607	924	595
608	925	593
609	926	592
610	927	590
611	928	588
612	929	586
613	930	584
614	931	583
615	932	581
616	933	579
617	934	577
618	935	576
619	936	574
620	937	572
621	938	570
622	939	568
623	941	567
624	941	565
625	943	563
626	944	561
627	945	560
628	946	558
629	947	556
630	948	554
631	949	552
632	950	551
633	951	549
634	952	547
635	953	545
636	954	543
637	955	542
638	956	540
639	957	538
640	958	536
641	959	535
642	960	533
643	961	531
644	962	529
645	963	527
646	964	526
647	965	524
648	966	522
649	967	521
650	968	519
651	970	517
652	971	516
653	972	514
654	973	512
655	974	511
656	976	509
657	977	507
658	978	506
659	979	504
660	981	503
661	982	501
662	983	500
663	985	498
664	986	496
665	987	495
666	988	493
667	990	492
668	991	490
669	992	488
670	993	486
671	994	485
672	995	483
673	996	482
674	998	480
675	999	478
676	1000	477
677	1001	475
678	1002	473
679	1003	472
680	1004	470
681	1005	469
682	1007	467
683	1008	465
684	1009	464
685	1011	463
686	1013	461
687	1014	460
688	1015	458
689	1016	456
690	1017	454
691	1019	453
692	1020	452
693	1021	450
694	1022	448
695	1023	446
696	1024	445
697	1026	444
698	1027	442
699	1028	440
700	1029	439
701	1030	437
702	1031	435
703	1032	433
704	1033	432
705	1034	430
706	1035	429
707	1036	427
708	1037	425
709	1038	424
710	1039	422
711	1040	420
712	1041	419
713	1042	417
714	1043	416
715	1044	414
716	1045	412
717	1046	410
718	1047	409
719	1048	407
720	1049	406
721	1050	404
722	1051	402
723	1052	401
724	1053	399
725	1054	397
726	1054	396
727	1056	394
728	1057	393
729	1057	391
730	1058	389
731	1059	387
732	1060	386
733	1060	384
734	1061	382
735	1062	381
736	1063	379
737	1064	377
738	1065	376
739	1065	374
740	1066	372
741	1067	371
742	1068	369
743	1068	367
744	1069	366
745	1070	364
746	1071	362
747	1072	361
748	1073	359
749	1073	357
750	1074	356
751	1075	354
752	1076	353
753	1077	351
754	1078	349
755	1078	348
756	1079	346
757	1080	344
758	1081	343
759	1081	341
760	1082	340
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1086	332
766	1087	330
767	1088	328
768	1089	327
769	1090	325
770	1090	323
771	1091	322
772	1092	320
773	1093	319
774	1094	317
775	1095	316
776	1095	314
777	1096	312
778	1097	311
779	1098	309
780	1099	308
781	1099	306
782	1101	305
783	1101	303
784	1102	302
785	1103	300
786	1104	298
787	1105	297
788	1105	295
789	1106	294
790	1107	292
791	1108	291
792	1109	289
793	1110	288
794	1110	286
795	1111	284
796	1112	283
797	1113	281
798	1113	280
799	1114	278
800	1115	277
801	1116	275
802	1117	274
803	1118	272
804	1118	271
805	1119	269
806	1120	267
807	1121	266
808	1121	264
809	1122	263
810	1123	261
811	1124	260
812	1125	258
813	1126	257
814	1127	255
815	1127	254
816	1128	252
817	1129	251
818	1130	249
819	1131	248
820	1132	246
821	1132	245
822	1133	243
823	1134	242
824	1135	240
825	1136	239
826	1137	237
827	1137	236
828	1138	234
829	1139	233
830	1140	231
831	1143	230
832	1144	229
833	1146	228
834	1147	226
835	1148	225
836	1149	223
837	1150	222
838	1151	220
839	1151	219
840	1152	217
841	1153	216
842	1154	215
843	1155	213
844	1156	212
845	1157	210
846	1158	209
847	1159	207
848	1160	206
849	1161	204
850	1162	203
851	1163	202
852	1163	200
853	1164	199
854	1165	197
855	1166	196
856	1166	194
857	1167	193
858	1168	191
859	1169	190
860	1170	188
861	1171	187
862	1172	186
863	1173	184
864	1174	183
865	1175	181
866	1176	180
867	1177	179
868	1178	177
869	1179	176
870	1180	174
871	1181	173
872	1182	171
873	1183	170
874	1184	169
875	1185	167
876	1186	166
877	1187	165
878	1188	163
879	1190	162
880	1191	160
881	1192	159
882	1193	158
883	1194	156
884	1195	155
885	1196	154
886	1198	152
887	1199	151
888	1200	149
889	1202	148
890	1203	147
891	1204	145
892	1205	144
893	1207	143
894	1209	141
895	1210	140
896	1212	139
897	1213	137
898	1214	136
899	1217	135
900	1219	133
901	1220	132
902	1222	131
903	1223	129
904	1226	128
905	1227	127
906	1229	126
907	1230	124
908	1232	123
909	1233	122
910	1235	120
911	1236	119
912	1238	118
913	1240	116
914	1242	115
915	1243	114
916	1244	112
917	1246	111
918	1248	110
919	1249	108
920	1251	107
921	1253	106
922	1254	104
923	1256	103
924	1257	101
925	1262	100
926	1263	99
927	1265	98
928	1267	96
929	1269	95
930	1270	94
931	1272	92
932	1273	91
933	1276	90
934	1277	88
935	1278	87
936	1280	86
937	1282	84
938	1284	83
939	1285	82
940	1287	80
941	1288	79
942	1291	78
943	1293	76
944	1294	75
945	1296	74
946	1298	72
947	1299	71
948	1301	69
949	1302	68
950	1303	67
951	1305	65
952	1306	64
953	1307	63
954	1308	61
955	1310	60
956	1311	58
957	1313	57
958	1314	56
959	1316	54
960	1317	53
961	1318	52
962	1319	50
963	1321	49
964	1322	47
965	1323	46
966	1324	45
967	1326	43
968	1327	42
969	1328	41
970	1330	39
971	1331	38
972	1332	36
973	1333	35
974	1335	34
975	1336	32
976	1337	31
977	1338	30
978	1339	28
979	1340	27
980	1341	25
981	1342	24
982	1344	23
983	1345	21
984	1346	20
985	1347	19
986	1348	17
987	1350	16
988	1351	15
989	1352	13
990	1354	12
991	1355	10
992	1356	9
993	1357	8
994	1359	6
995	1360	5
996	1361	4
997	1362	2
998	1363	1
999	1365	0
